Date,Strategy_Return
2023-01-06,0.0015396090586081712
2023-01-09,-0.0017690555878723258
2023-01-10,0.00026158665124031977
2023-01-11,-0.0018384264454154309
2023-01-12,0.0019092970853784585
2023-01-13,0.0015373861325926885
2023-01-17,0.0007973724322616338
2023-01-18,-0.0027966118596299827
2023-01-19,0.0002763367141860318
2023-01-20,0.0033060887273423933
2023-01-23,0.006293897739043208
2023-01-24,0.00022471998874862287
2023-01-25,0.0002582336152454623
2023-01-26,0.002040538227181754
2023-01-27,0.00012997698441075123
2023-01-30,-0.0031774675624323123
2023-01-31,0.0017999938099009238
2023-02-01,0.004962949185857157
2023-02-02,0.006801843719009604
2023-02-03,-0.0006606909242010683
2023-02-06,-0.0014409338221818002
2023-02-07,0.004111807280797519
2023-02-08,-0.003732864380152412
2023-02-09,-0.0012422845526099957
2023-02-10,-0.0019253262280397587
2023-02-13,0.00026756266348049174
2023-02-14,0.004013389410706836
2023-02-15,0.0002766748601008562
2023-02-16,-0.003534058134834872
2023-02-17,-0.0016004076958886504
2023-02-21,-0.002396582790298085
2023-02-22,-0.00043395326912865073
2023-02-23,0.0012009563174868454
2023-02-24,-0.0010473438529529089
2023-02-27,-0.0002863300834108351
2023-02-28,-3.0728374662225555e-05
2023-03-01,-0.0011018370914112063
2023-03-02,0.00016139422901062517
2023-03-03,0.0015275276863404574
2023-03-06,-0.0006354611128162047
2023-03-07,-0.0016374016380936718
2023-03-08,-0.00042270314617476323
2023-03-09,-0.005512187348523656
2023-03-10,0.0020682089944612514
2023-03-13,-0.004290666961538014
2023-03-14,0.004764713908113061
2023-03-15,0.002916363929704291
2023-03-16,0.0035042485940444124
2023-03-17,-0.0011122429307560688
2023-03-20,0.0005543917758106254
2023-03-21,0.003054048736401027
2023-03-22,-0.0013253620637032615
2023-03-23,0.0022485560414551298
2023-03-24,-0.0021356118343541786
2023-03-27,2.8086005531502423e-05
2023-03-28,-0.001496818933889088
2023-03-29,0.0026713085544995963
2023-03-30,0.0005451661563484755
2023-03-31,0.001721207003646752
2023-04-03,9.267920627875625e-05
2023-04-04,-7.807012525773427e-05
2023-04-05,-0.0010270914085894756
2023-04-06,0.0018964381246424633
2023-04-10,-0.0008440479419912217
2023-04-11,-0.002486705631082553
2023-04-12,-0.002474569799924442
2023-04-13,0.0041021776837393276
2023-04-14,0.001362879550806273
2023-04-17,-0.0013893615169410234
2023-04-18,-0.0007205400840848419
2023-04-19,-0.002570677137999855
2023-04-20,-0.002978758609022636
2023-04-21,0.0022192692000351233
2023-04-24,-0.000694264144803225
2023-04-25,-0.0014850827019764479
2023-04-26,0.0018164715051487423
2023-04-27,0.00536111715463039
2023-04-28,0.0004690869628118932
2023-05-01,-9.332705330888924e-05
2023-05-02,-0.0008677766124941533
2023-05-03,-0.002421443086546904
2023-05-04,-1.2628151483173866e-05
2023-05-05,0.003153156395487411
2023-05-08,0.0025340781863174566
2023-05-09,-0.0017002347042722743
2023-05-10,0.000720710461927343
2023-05-11,0.0017297399408742198
2023-05-12,-0.0021134002404059604
2023-05-15,0.0024084655283451717
2023-05-16,0.0018981075986068685
2023-05-17,0.0017937901819147228
2023-05-18,0.0037340133974943512
2023-05-19,-0.0019212882532805287
2023-05-22,3.248249809617576e-05
2023-05-23,-0.000490272418586013
2023-05-24,0.0009400177447398406
2023-05-25,0.005949419653298094
2023-05-26,0.004031006124670888
2023-05-30,0.0019710258281360193
2023-05-31,-0.0018828292767264498
2023-06-01,0.0009482145513852736
2023-06-02,-0.003295453992126385
2023-06-05,-0.00040192012511230946
2023-06-06,0.0018177543793553852
2023-06-07,-0.0038143662844269954
2023-06-08,0.004012769652827819
2023-06-09,0.0023492224889722912
2023-06-12,0.002615282366013716
2023-06-13,0.0002596524372038278
2023-06-14,0.002052598920320836
2023-06-15,-0.0003794230957646638
2023-06-16,-0.0004125222637069159
2023-06-20,0.0014208608073571494
2023-06-21,-0.006231418953831058
2023-06-22,0.002186275061178966
2023-06-23,-0.0029972922143133296
2023-06-26,-0.004370829520129904
2023-06-27,0.0038222808683912035
2023-06-28,-9.215741848012104e-05
2023-06-29,-0.0013296408958434203
2023-06-30,0.0029236755019108607
2023-07-03,0.0033580331527489626
2023-07-05,0.0008499853070373931
2023-07-06,-0.003222145029066925
2023-07-07,-0.0014186410906199542
2023-07-10,-0.002680312270961327
2023-07-11,-0.00020408975802632678
2023-07-12,0.0030576392196082214
2023-07-13,0.006624506834167487
2023-07-14,-0.00332404529276642
2023-07-17,0.0010716789824367634
2023-07-18,0.003298392506495773
2023-07-19,0.0012540958635209876
2023-07-20,-0.0074099539663740055
2023-07-21,-0.0014793766426005606
2023-07-24,0.0005987159102240902
2023-07-25,-0.0006462847651076409
2023-07-26,-0.0014828174152085039
2023-07-27,0.0019795492274106152
2023-07-28,0.008232832179911886
2023-07-31,0.0006303218261165533
